Ordinal,Nickname,Year,Make,Model,Car Division,Spec,Region,Country
1592,Toyota Celica 74,1974,Toyota,Celica GT,Vintage Sport Compact,Factory,Asia,Japan
1598,BMW M3 '10,2010,BMW,M3 GTS,Modern Sport Touring,Factory,Europe,Germany
1599,Ferrari 599XX E,2012,Ferrari,599XX Evolution,Modern Factory Racecars,Race,Europe,Italy
1607,Audi RS 4 '13,2013,Audi,RS 4 Avant,Modern Sport Touring,Factory,Europe,Germany
1612,VW Scirocco '88,1988,Volkswagen,Scirocco 16v,Hot Hatch Icons,Factory,Europe,Germany
1615,FIAT Dino,1969,FIAT,Dino 2.4 Coupe,Classic Sports Cars,Factory,Europe,Italy
1619,M-B 280 SL,1967,Mercedes-Benz,280 SL,Rare Classics,Factory,Europe,Germany
1620,D. Challenger 12,2012,Dodge,Challenger SRT8,Modern Sport Touring,Factory,N. America,U.S.
1651,Ariel Atom '13,2013,Ariel,Atom 500 V8,Track Toys,Factory,Europe,U.K.
1652,Caterham '13,2013,Caterham,Superlight R500,Track Toys,Factory,Europe,U.K.
1653,KTM X-Bow R '13,2013,KTM,X-Bow R,Track Toys,Factory,Europe,Austria
1654,Ford Mustang '13,2013,Ford,Shelby GT500,Modern Sport Touring,Factory,N. America,U.S.
1655,SUBARU BRZ '13,2013,SUBARU,BRZ,Modern Sport Compact,Factory,Asia,Japan
1658,MB A 45 '13,2013,Mercedes-Benz,A 45 AMG,Modern Hot Hatch,Factory,Europe,Germany
1662,MINI Cooper '65,1965,MINI,Cooper S,Vintage Sport Compact,Factory,Europe,U.K.
1663,Infiniti IPL '12,2012,Infiniti,IPL G Coupe,Modern Sport Touring,Factory,N. America,U.S.
1665,Citroen DS 3 '11,2011,Citroën,DS 3 Racing,Modern Hot Hatch,Factory,Europe,France
1667,McL. P1 '13,2013,McLaren,P1,Modern Exotic GT,Factory,Europe,U.K.
1668,Ford Mustang '69,1969,Ford,Mustang Boss 302,Vintage Muscle,Factory,N. America,U.S.
1670,#12 McLaren MP4,1988,McLaren,#12 Honda McLaren MP4/4,Grand Prix Rivals,Race,Europe,U.K.
1671,McLaren M2B,1966,McLaren,M2B,Formula 60s,Race,Europe,U.K.
1672,#11 McLaren M23,1976,McLaren,#11 Team McLaren M23,Formula 70s,Race,Europe,U.K.
2003,MINI JCW GP '12,2012,MINI,John Cooper Works GP,Modern Hot Hatch,Factory,Europe,U.K.
2004,Mazda MX-5 '13,2013,Mazda,MX-5,Modern Sport Compact,Factory,Asia,Japan
2005,Honda S2000 '09,2009,Honda,S2000 CR,Modern Sport Compact,Factory,Asia,Japan
2006,Chev. C4 ZR1 '95,1995,Chevrolet,Corvette ZR-1,Sport GT Icons,Factory,N. America,U.S.
2007,Toyota GT86,2013,Toyota,86,Modern Sports Cars,Factory,Asia,Japan
2009,Audi RS 7,2013,Audi,RS 7 Sportback,Sport Luxury,Factory,Europe,Germany
2010,Audi R8 '13,2013,Audi,R8 Coupé V10 plus 5.2 FSI quattro,Modern Sport GT,Factory,Europe,Germany
2015,Ferrari #1 312,1976,Ferrari,#1 Scuderia Ferrari 312 T2,Formula 70s,Race,Europe,Italy
2017,Abarth 595 '68,1968,Abarth,595 esseesse,Cult Cars,Factory,Europe,Italy
2018,BMW M6 '13,2013,BMW,M6 Coupé,Sport Luxury,Factory,Europe,Germany
2019,Ford Focus '03,2003,Ford,Focus RS,Modern Hot Hatch,Factory,N. America,U.S.
2024,Lotus Type 49,1967,Lotus,Type 49,Formula 60s,Race,Europe,U.K.
2033,Brabham BT24,1967,Brabham,BT24,Formula 60s,Race,Europe,U.K.
2034,LaFerrari '13,2013,Ferrari,LaFerrari,Modern Exotic GT,Factory,Europe,Italy
2038,Alfa Romeo 4C,2014,Alfa Romeo,4C,Modern Sport Coupe,Factory,Europe,Italy
2040,BAC Mono '14,2014,BAC,Mono,Track Toys,Factory,Europe,U.K.
2042,L. Veneno '13,2013,Lamborghini,Veneno,Modern Hypercars,Factory,Europe,Italy
2049,Willys Jeep,1945,Willys,MB Jeep,Pickups & 4x4s,Factory,N. America,U.S.
2051,Mas. Ghibli '14,2014,Maserati,Ghibli S Q4,Sport Luxury,Factory,Europe,Italy
2066,Bugatti Type 35,1926,Bugatti,Type 35 C,The Birth of Grand Prix,Race,Europe,France
2068,Mas. 8CTF,1939,Maserati,8CTF,The Birth of Grand Prix,Race,Europe,Italy
2069,MB W154,1939,Mercedes-Benz,W154,The Birth of Grand Prix,Race,Europe,Germany
2083,Formula Mazda 15,2015,Mazda,Formula Mazda,Formula Mazda Spec,Race,Asia,Japan
2096,AutoUnion Type D,1939,Auto Union,Type D,The Birth of Grand Prix,Race,Europe,Germany
2097,Lexus IS 350 '14,2014,Lexus,IS 350 F Sport,Modern Sport Touring,Factory,N. America,U.S.
2103,BMW #6 M1 Procar,1979,BMW,#6 BMW Motorsport M1 Procar,GTX Sportscars,Race,Europe,Germany
2104,Dodge Dart '13,2013,Dodge,Dart GT,Modern Sport Compact,Factory,N. America,U.S.
2105,Donkervoort GTO,2013,Donkervoort,D8 GTO,Track Toys,Factory,Europe,Netherlands
2112,BMW #25 3.0 CSL,1975,BMW,#25 BMW Motorsport 3.0 CSL,GTX Sportscars,Race,Europe,Germany
2118,#10 VF Commodore,2013,Holden,#10 Holden Xbox Racing Team Commodore VF,Forza Specials,Race,Europe,Australia
2125,Ford #2 Capri,1981,Ford,#2 Zakspeed Racing Capri Turbo,GTX Sportscars,Race,N. America,U.S.
2126,Ferrari #1 641,1990,Ferrari,#1 Scuderia Ferrari 641,Grand Prix Rivals,Race,Europe,Italy
2128,Caddy Limo,2013,Cadillac,XTS Limousine,Super Saloons,Factory,N. America,U.S.
2131,Holden GEN-F '14,2014,HSV,GEN-F GTS,Modern Sport Touring,Factory,Asia,Australia
2133,BMW i8 '15,2015,BMW,i8,Sport Luxury,Factory,Europe,Germany
2140,Subaru BRAT,1980,Subaru,BRAT GL,Vans & Utility,Factory,Asia,Japan
2142,VW Golf R '14,2014,Volkswagen,Golf R,Modern Hot Hatch,Factory,Europe,Germany
2149,Ren. Clio '93,1993,Renault,Clio Williams,Hot Hatch Icons,Factory,Europe,France
2151,VW Type 2,1963,Volkswagen,Type 2 De Luxe,Cult Cars,Factory,Europe,Germany
2154,BMW M4 '14,2014,BMW,M4 Coupé,Modern Sport Touring,Factory,Europe,Germany
2158,Ford Fiesta '81,1981,Ford,Fiesta XR2,Hot Hatch Icons,Factory,N. America,U.S.
2160,Opel Kadett '79,1979,Opel,Kadett C GT/E,Vintage Sport Compact,Factory,Europe,Germany
2161,Alfa Romeo TZ2,1965,Alfa Romeo,Giulia TZ2,Classic Racers,Race,Europe,Italy
2162,Jag. F-Type R 15,2015,Jaguar,F-TYPE R Coupé,Modern Sport Coupe,Factory,Europe,U.K.
2164,Lambo Huracán,2014,Lamborghini,Huracán LP 610-4,Modern Sport GT,Factory,Europe,Italy
2165,Lotus Evora '11,2011,Lotus,Evora S,Modern Sport Coupe,Factory,Europe,U.K.
2166,Infiniti Q50 '14,2014,Infiniti,Q50 Eau Rouge,Sport Luxury,Factory,N. America,U.S.
2168,SUBARU WRX '15,2015,SUBARU,WRX STI,Modern Sport Compact,Factory,Asia,Japan
2175,Lexus RC F '15,2015,Lexus,RC F,Modern Sport Coupe,Factory,N. America,U.S.
2177,Chev. C6 Z06 '15,2015,Chevrolet,Corvette Z06,Modern Sport GT,Factory,N. America,U.S.
2178,Audi RS 4 '01,2001,Audi,RS 4 Avant,Sport Touring Classics,Factory,Europe,Germany
2179,Audi S1 '15,2015,Audi,S1,Modern Hot Hatch,Factory,Europe,Germany
2180,Audi RS 6 '15,2015,Audi,RS 6 Avant,Sport Luxury,Factory,Europe,Germany
2181,AM Vantage '13,2013,Aston Martin,V12 Vantage S,Modern Sport GT,Factory,Europe,U.K.
2182,Audi TTS,2015,Audi,TTS Coupe,Modern Sports Cars,Factory,Europe,Germany
2183,Chevy Camaro '15,2015,Chevrolet,Camaro Z/28,Track Toys,Factory,N. America,U.S.
2184,Ferrari 458 S,2013,Ferrari,458 Speciale,Modern Sport GT,Factory,Europe,Italy
2185,Jag. XRF-S '15,2015,Jaguar,XFR-S,Sport Luxury,Factory,Europe,U.K.
2186,Ferrari 500 M,1953,Ferrari,500 Mondial,Vintage Le Mans Sportscars,Race,Europe,Italy
2188,Koenigsegg One,2015,Koenigsegg,One:1,Modern Hypercars,Factory,Europe,Sweden
2189,McLaren 650S,2015,McLaren,650S Coupe,Modern Sport GT,Factory,Europe,U.K.
2193,BMW 323ti '00,2000,BMW,323ti Sport,Early Sport Compact,Factory,Europe,Germany
2194,Ferrari Cali T,2014,Ferrari,California T,Modern Sport GT,Factory,Europe,Italy
2203,Holden VL '88,1988,Holden,VL Commodore Group A SV,Sport Touring Classics,Factory,Asia,Australia
2205,Honda S800 '70,1970,Honda,S800,Sport Coupe Icons,Factory,Asia,Japan
2207,L. Jarama S '72,1972,Lamborghini,Jarama S,Vintage Exotic GT,Factory,Europe,Italy
2209,Mazda 323 '92,1992,Mazda,323 GT-R,Hot Hatch Icons,Factory,Asia,Japan
2226,Chev. #3 C7,2014,Chevrolet,#3 Corvette Racing Corvette C7.R,Forza GT2,Race,N. America,U.S.
2229,Dodge #93 Viper,2014,Dodge,#93 SRT Motorsports Viper GTS-R,Forza GT2,Race,N. America,U.S.
2235,Jag. XKR-S GT '15,2015,Jaguar,XKR-S GT,Modern Sport Touring,Factory,Europe,U.K.
2240,Mazda #70 B12/80,2014,Mazda,#70 SpeedSource Lola B12/80,Forza P2,Race,Asia,Japan
2255,Mazda MX-5 '90,1990,Mazda,MX-5 Miata,Early Sport Compact,Factory,Asia,Japan
2258,#1107 VW Bug,1970,Volkswagen,#1107 Desert Dingo Racing Stock Bug,Buggies,Race,Europe,Germany
2262,Cadillac ATS '16,2016,Cadillac,ATS-V,Modern Sport Touring,Factory,N. America,U.S.
2265,Honda RA300,1967,Honda,RA300,Formula 60s,Race,Asia,Japan
2266,#5 Lotus 77,1976,Lotus,#5 Team Lotus 77,Formula 70s,Race,Europe,U.K.
2267,Mazda MX-5 '16,2016,Mazda,MX-5,Modern Sport Compact,Factory,Asia,Japan
2268,Ferrari 250LM,1963,Ferrari,250LM,Vintage Le Mans Sportscars,Race,Europe,Italy
2269,Nissan #21 R382,1969,Nissan,#21 Nissan Racing R382,Prototype Group Racing,Race,Asia,Japan
2270,Nissan GT-R '73,1973,Nissan,Skyline H/T 2000GT-R,Vintage Sport Compact,Factory,Asia,Japan
2271,Audi #2 R18,2014,Audi,#2 Audi Team Joest R18 e-tron quattro,Forza P1,Race,Europe,Germany
2272,Datsun 2000,1969,Datsun,2000 Roadster,Sport Coupe Icons,Factory,Asia,Japan
2275,Eagle T1G,1967,Eagle-Weslake,T1G,Formula 60s,Race,N. America,U.S.
2289,911 Turbo '14,2014,Porsche,911 Turbo S,Modern Sport GT,Factory,Europe,Germany
2290,P. 918 Spyder 14,2014,Porsche,918 Spyder,Modern Exotic GT,Factory,Europe,Germany
2293,Porsche Cayman,2015,Porsche,Cayman GTS,Modern Sport Coupe,Factory,Europe,Germany
2298,,1978,Porsche,#43 Porsche Racing 935/78,GTX Sportscars,Race,Europe,Germany
2299,P. 356A S '57,1957,Porsche,356A Speedster,Sport Coupe Icons,Factory,Europe,Germany
2300,#16 BMW V12 LMR,1999,BMW,#16 BMW Motorsport V12 LMR,Early LMP,Livery,Europe,Germany
2302,Toyota #8 TS040,2014,Toyota,#8 Toyota Racing TS040 HYBRID,Forza P1,Race,Asia,Japan
2312,Lola #10 T163,1969,Lola,#10 Simoniz Special T163,Prototype Group Racing,Race,Europe,U.K.
2314,Ford #17Focus ST,2014,Ford,#17 AMD Tuning Focus ST BTCC,Forza Touring Cars,Race,N. America,U.S.
2315,Ferrari #72 BBLM,1982,Ferrari,#72 N.A.R.T. 512 BB/LM,GTX Sportscars,Race,Europe,Italy
2333,Mercury #15 XR-7,1990,Mercury,#15 Whistler Radar Cougar XR-7,GTX Sportscars,Race,N. America,U.S.
2334,Mazda #62 RX-7,1991,Mazda,#62 RX-7,GTX Sportscars,Race,Asia,Japan
2352,Acura NSX '17,2017,Acura,NSX,Modern Sport GT,Factory,N. America,U.S.
2357,Ford Focus '17,2017,Ford,Focus RS,Modern Hot Hatch,Factory,N. America,U.S.
2363,Ford GT '17,2017,Ford,GT,Modern Sport GT,Factory,N. America,U.S.
2368,Nissan #23 GTRLM,2015,Nissan,#23 GT-R LM NISMO,Forza P1,Race,Asia,Japan
2371,Ferrari FXX K,2014,Ferrari,FXX K,Modern Factory Racecars,Race,Europe,Italy
2379,#63 Lambo Super,2015,Lamborghini,#63 Squadra Corse Huracan LP620-2 Super Trofeo,Super Trofeo,Race,Europe,Italy
2400,Ford GT-350R '16,2016,Ford,Shelby GT-350R,Modern Sport Touring,Factory,N. America,U.S.
2401,Ferrari F-158,1964,Ferrari,F-158,Formula 60s,Race,Europe,Italy
2403,Bentley #17 C,2014,Bentley,#17 M-Sport Bentley Continental GT3,Forza GT3,Race,Europe,U.K.
2405,Lotus 340R,2000,Lotus,340R,Retro Sports Cars,Factory,Europe,U.K.
2409,Ford #02 DP,2015,Ford,#02 Chip Ganassi Racing Riley Mk XXVI Daytona Prototype,Forza P2,Race,N. America,U.S.
2412,BMW Isetta,1957,BMW,Isetta 300 Export,Cult Cars,Factory,Europe,Germany
2417,Holden Monaro 73,1973,Holden,HQ Monaro GTS 350,Vintage Muscle,Factory,Asia,Australia
2421,Cadillac CTS '16,2016,Cadillac,CTS-V Sedan,Sport Luxury,Factory,N. America,U.S.
2422,HSV Maloo,2014,HSV,Limited Edition Gen-F GTS Maloo,Modern Sport Touring,Factory,Europe,Australia
2423,Lola #6 T70,1969,Lola,#6 Sunoco T70 MkIIIB,Prototype Group Racing,Race,Europe,U.K.
2426,Alpine GTA '90,1990,Alpine,GTA Le Mans,Sport Touring Classics,Factory,Europe,France
2427,Vaux Corsa '16,2016,Vauxhall,Corsa VXR,Modern Hot Hatch,Factory,Europe,U.K.
2428,Lykan Hypersport,2016,W Motors,Lykan HyperSport,Hypercars,Factory,Europe,UAE
2430,Ariel Nomad,2016,Ariel,Nomad,Unlimited Buggies,Factory,Europe,U.K.
2431,BMW X6 M,2015,BMW,X6 M,Sports Utility Heroes,Factory,Europe,Germany
2434,Toyota #99 Eagle,1992,Toyota,#99 All American Racers Toyota Eagle MkIII,GTP/C,Race,Asia,Japan
2467,Ferrari 488 GTB,2015,Ferrari,488 GTB,Modern Sport GT,Factory,Europe,Italy
2468,Dodge Charger 15,2015,Dodge,Charger SRT Hellcat,Modern Sport Touring,Factory,N. America,U.S.
2469,Sports 800 '65,1965,Toyota,Sports 800,Classic Sports Cars,Factory,Asia,Japan
2470,AM Vulcan '16,2016,Aston Martin,Vulcan,Modern Factory Racecars,Race,Europe,U.K.
2471,AMG C 63 '16,2016,Mercedes-AMG,C 63 S Coupé,Modern Sport Touring,Factory,Europe,Germany
2473,Audi R8 '16,2016,Audi,R8 V10 plus,Modern Sport GT,Factory,Europe,Germany
2474,Zenvo ST1,2016,Zenvo,ST1,Hypercars,Factory,Europe,Denmark
2475,GTA Spano,2016,Spania GTA,GTA Spano,Modern Exotic GT,Factory,Europe,Spain
2477,BMW M2,2016,BMW,M2 Coupé,Super Saloons,Factory,Europe,Germany
2479,Aventador '16,2016,Lamborghini,Aventador Superveloce,Modern Exotic GT,Factory,Europe,Italy
2481,McL. P1 GTR '15,2015,McLaren,P1 GTR,Modern Factory Racecars,Race,Europe,U.K.
2482,#20 Bluebird,1984,Nissan,#20 Bluebird Super Silhouette,GTX Sportscars,Race,Asia,Japan
2483,Nissan #23 R91CP,1991,Nissan,#23 Nissan R91CP,GTP/C,Race,Asia,Japan
2485,Chev. #10 DP,2015,Chevrolet,#10 Konica Minolta Corvette Daytona Prototype,Forza P2,Race,N. America,U.S.
2486,Radical RXC '15,2015,Radical,RXC Turbo,Track Toys,Factory,Europe,U.K.
2488,Datsun #33 280ZX,1979,Datsun,#33 280ZX Turbo,GTX Sportscars,Race,Asia,Japan
2489,Abarth 695 '16,2016,Abarth,695 Biposto,Hot Hatch,Factory,Europe,Italy
2493,AM GT12 '15,2015,Aston Martin,Vantage GT12,Modern Sport GT,Factory,Europe,U.K.
2506,Mas. A6GCS,1953,Maserati,A6GCS/53 PininFarina Berlinetta,Vintage Le Mans Sportscars,Factory,Europe,Italy
2507,Chevy 150 Sedan,1955,Chevrolet,150 Utility Sedan,Rods and Customs,Factory,N. America,U.S.
2512,Nissan GT-R '87,1987,Nissan,Skyline GTS-R (HR31),Sport Touring Classics,Factory,Asia,Japan
2514,Ford Falcon '92,1992,Ford,Falcon GT,Sport Touring Classics,Factory,N. America,U.S.
2523,Chev. Camaro '16,2016,Chevrolet,Camaro Super Sport,Modern Sport Touring,Factory,N. America,U.S.
2527,AM DB11,2017,Aston Martin,DB11,Super GT,Factory,Europe,U.K.
2528,911 GT3 RS '16,2016,Porsche,911 GT3 RS,Modern Sport GT,Factory,Europe,Germany
2529,Porsche Cayman,2016,Porsche,Cayman GT4,Modern Sport Coupe,Factory,Europe,Germany
2532,P. 924 GTS '80,1980,Porsche,924 Carrera GTS,Sport Touring Classics,Factory,Europe,Germany
2534,P. 968 Turbo '93,1993,Porsche,968 Turbo S,Sport Touring Classics,Factory,Europe,Germany
2535,P. 928 GTS '93,1993,Porsche,928 GTS,Sport Touring Classics,Factory,Europe,Germany
2537,Porsche 718,1960,Porsche,718 RS 60,Vintage Le Mans Sportscars,Race,Europe,Germany
2538,Porsche #91 RSR,2015,Porsche,#91 Porsche Team Manthey 991 RSR,Forza GT2,Race,Europe,Germany
2541,Lotus 3-Eleven,2016,Lotus,3-Eleven,Track Toys,Factory,Europe,U.K.
2542,Alfa Giulia '17,2017,Alfa Romeo,Giulia Quadrifoglio,Modern Sport Touring,Factory,Europe,Italy
2543,Ford #66 GT,2016,Ford,#66 Ford Racing GT Le Mans,Forza GT2,Race,N. America,U.S.
2544,Dodge Viper '16,2016,Dodge,Viper ACR,Modern Sport GT,Factory,N. America,U.S.
2548,Porsche 935/78,1978,Porsche,#78 MOMO 935/78,GTX Sportscars,Race,Europe,Germany
2549,Porsche 917 LH,1970,Porsche,#3 917 LH,Vintage Le Mans Prototypes,Race,Europe,Germany
2551,,2014,Ford,FPV Limited Edition Pursuit Ute,Modern Sport Touring,Factory,N. America,U.S.
2552,Alumi Craft C.10,2015,Alumi Craft,Class 10 Race Car,Unlimited Buggies,Race,N. America,U.S.
2559,Jag. Mk II '59,1959,Jaguar,Mk II 3.8,Sport Coupe Icons,Race,Europe,U.K.
2566,Toyota FJ40,1979,Toyota,FJ40,Pickups & 4x4s,Factory,Asia,Japan
2568,VW Class 5 Bug,1969,Volkswagen,Class 5/1600 Baja Bug,Buggies,Factory,Europe,Germany
2569,Ultima Evo '15,2015,Ultima,Evolution Coupe 1020,Track Toys,Factory,Europe,U.K.
2574,M12S Warthog CST,2554,AMG Transport Dynamics,M12S Warthog CST,Unlimited Offroad,Fantasy,N. America,U.S.
2577,Ferrari F12 '15,2015,Ferrari,F12tdf,Modern Exotic GT,Factory,Europe,Italy
2580,Ford Falcon '15,2015,Ford,Falcon GT F 351,Modern Sport Touring,Factory,N. America,U.S.
2581,Chry. Valiant 72,1972,Chrysler,VH Valiant Charger R/T E49,Street Drag Racers,Factory,N. America,U.S.
2582,Holden GTSR '96,1996,HSV,GTSR,Sport Touring Classics,Factory,Asia,Australia
2584,Holden VK '85,1985,HDT,VK Commodore Group A,Sport Touring Classics,Factory,Europe,Australia
2585,,1972,Ford,Falcon XA GT-HO,Vintage Muscle,Factory,N. America,U.S.
2586,Volvo V60,2015,Volvo,V60 Polestar,Super Saloons,Factory,Europe,Sweden
2587,Holden VN '91,1991,Holden,HSV Commodore Group A SV,Sport Touring Classics,Factory,Europe,Australia
2614,Ford Mustang '68,1968,Ford,Mustang GT 2+2 Fastback,Vintage Muscle,Factory,N. America,U.S.
2616,L. Centenario 16,2016,Lamborghini,Centenario LP 770-4,Modern Exotic GT,Factory,Europe,Italy
2618,Nissan GT-R '17,2017,Nissan,GT-R (R35),Modern Sport GT,Factory,Asia,Japan
2624,Bugatti Chiron,2018,Bugatti,Chiron,Modern Hypercars,Factory,Europe,France
2625,Bentley Bentayga,2016,Bentley,Bentayga,Sports Utility Heroes,Factory,Europe,U.K.
2628,BMW M4 '16,2016,BMW,M4 GTS,Modern Sport Touring,Factory,Europe,Germany
2636,#1 Toyota Baja,1993,Toyota,#1 T100 Baja Truck,Unlimited Offroad,Race,Asia,Japan
2647,Pagani Huayra 16,2016,Pagani,Huayra BC,Modern Hypercars,Factory,Europe,Italy
2654,AMG GT R '17,2017,Mercedes-AMG,GT R,Modern Sport GT,Factory,Europe,Germany
2656,Toyota AT38,2007,Toyota,Hilux Arctic Trucks AT38,Pickups & 4x4s,Factory,Asia,Japan
2659,Nissan Silvia 98,1998,Nissan,Silvia K's Aero,Early Sport Compact,Factory,Asia,Japan
2665,Bentley C SS '17,2017,Bentley,Continental Supersports,Sport Luxury,Factory,Europe,U.K.
2739,Chev. Camaro '17,2017,Chevrolet,Camaro ZL1,Modern Sport Touring,Factory,N. America,U.S.
2740,Abarth 124 '17,2017,Abarth,124 Spider,Modern Sport Compact,Factory,Europe,Italy
2741,P. Panamera '17,2017,Porsche,Panamera Turbo,Sport Luxury,Factory,Europe,Germany
2743,Toyota AT37,2016,Toyota,Land Cruiser Arctic Trucks AT37,Pickups & 4x4s,Factory,Asia,Japan
2755,P. 911 GT2 RS 18,2018,Porsche,911 GT2 RS,Modern Sport GT,Factory,Europe,Germany
2760,Ford #17 Falcon,2017,Ford,#17 Shell V-Power Racing Team Falcon FG X,Forza AUS,Race,N. America,U.S.
2774,Porsche #2 919,2017,Porsche,#2 Porsche Team 919 Hybrid,Forza P1,Race,Europe,Germany
2775,Porsche #92 RSR,2017,Porsche,#92 Porsche GT Team 911 RSR,Forza GT2,Race,Europe,Germany
2776,Chev. #76 C3,1976,Chevrolet,#76 Greenwood Corvette,GTX Sportscars,Race,N. America,U.S.
2792,Ford GT40 Mk II,1966,Ford,#2 GT40 MkII Le Mans,Vintage Le Mans Prototypes,Race,N. America,U.S.
2793,Ferrari 330 P4,1967,Ferrari,#24 Ferrari Spa 330 P4,Vintage Le Mans Prototypes,Race,Europe,Italy
2794,P. 911 Turbo '93,1993,Porsche,911 Turbo S Leichtbau,Sport GT Icons,Factory,Europe,Germany
2796,Holden #22 VF,2017,Holden,#22 Walkinshaw Performance VF Commodore,Forza AUS,Race,Asia,Australia
2797,Nissan Altima R,2017,Nissan,Altima Racecar,Forza AUS,Race,Asia,Japan
2800,Jag. #44 XJR-15,1983,Jaguar,#44 Group 44 XJR-5,GTP/C,Race,Europe,U.K.
2801,#11 Skyline '84,1984,Nissan,#11 Tomica Skyline Turbo Super Silhouette,GTX Sportscars,Race,Asia,Japan
2817,Honda Prelude,2000,Honda,Prelude Type SH,Early Sport Compact,Factory,Asia,Japan
2823,Nissan R380 II,1967,Nissan,R380 II,Vintage Le Mans Sportscars,Factory,Asia,Japan
2824,BMW #24 M6,2017,BMW,#24 BMW Team RLL M6 GTLM,Forza GT2,Race,Europe,Germany
2826,Jag. #1 XJR-9,1988,Jaguar,#1 Jaguar Racing XJR-9,GTP/C,Race,Europe,U.K.
2840,Nis. #33 300ZX,1988,Nissan,#33 Bob Sharp Racing 300ZX,GTX Sportscars,Race,Asia,Japan
2844,Vuhl 05RR '17,2017,VUHL,05RR,Track Toys,Factory,N. America,Mexico
2846,McL. 720 '18,2018,McLaren,720S Coupe,Modern Sport GT,Factory,Europe,U.K.
2847,Chevrolet ZR2,2017,Chevrolet,Colorado ZR2,Pickups & 4x4s,Factory,N. America,U.S.
2852,Audi #1 RS 3 LMS,2018,Audi,#1 Audi Sport RS 3 LMS,Forza Touring Cars,Race,Europe,Germany
2859,Audi #17 TT RS,2016,Audi,#17 Rotek Racing TT RS,Forza GT4,Race,Europe,Germany
2860,AM #7 Vantage,2017,Aston Martin,#7 Aston Martin Racing V12 Vantage GT3,Forza GT3,Race,Europe,U.K.
2866,Exocet '18,2018,Exomotive,Exocet Sport V8 XP-5,Track Toys,Factory,N. America,U.S.
2868,Ford #6 Mustang,1982,Ford,#6 Zakspeed Roush Mustang IMSA GT,GTX Sportscars,Race,N. America,U.S.
2869,#23 Porsche 917,1971,Porsche,#23 917/20,Vintage Le Mans Prototypes,Race,Europe,Germany
2870,Honda Civic '18,2018,Honda,Civic Type R,Modern Hot Hatch,Factory,Asia,Japan
2871,Can-Am Maverick,2018,Can-Am,Maverick X RS Turbo R,UTV's,Factory,N. America,Canada
2872,Veloster N '19,2019,Hyundai,Veloster N,Modern Hot Hatch,Factory,Asia,Korea
2874,Nissan Sentra 18,2018,Nissan,Sentra NISMO,Modern Sport Compact,Factory,Asia,Japan
2875,MB #33 A45,2017,Mercedes-Benz,#33 Mac Tools Ciceley Motorsports A-Class (A45),Forza Touring Cars,Race,Europe,Germany
2909,D. Challenger 18,2018,Dodge,Challenger SRT Demon,Modern Sport Touring,Factory,N. America,U.S.
2910,Koe. Agera '17,2017,Koenigsegg,Agera RS,Modern Hypercars,Factory,Europe,Sweden
2967,Oreca #38 07,2017,Oreca,#38 Jackie Chan DC Racing Oreca 07,Forza P2,Race,Europe,France
2968,AM Valkyrie '23,2023,Aston Martin,Valkyrie,Modern Hypercars,Factory,Europe,U.K.
2972,Ferrari #62 488,2019,Ferrari,#62 Risi Competizione 488 GTE,Forza GT2,Race,Europe,Italy
2973,Alpine A110 '17,2017,Alpine,A110,Modern Sport Coupe,Factory,Europe,France
2974,Ferrari 812 '17,2017,Ferrari,812 Superfast,Modern Exotic GT,Factory,Europe,Italy
2976,4-1/2 Liter '31,1930,Bentley,Blower 4-1/2 Litre Supercharged,Vintage Racers,Factory,Europe,U.K.
2980,Ford GT40 Mk I,1964,Ford,GT40 Mk I,Vintage Le Mans Prototypes,Factory,N. America,U.S.
2981,Ford Escort '86,1986,Ford,Escort RS Turbo,Hot Hatch Icons,Factory,N. America,U.S.
2988,McL. Senna '18,2018,McLaren,Senna,Modern Hypercars,Factory,Europe,U.K.
2993,TVR Grifith '18,2018,TVR,Griffith,Modern Sport GT,Factory,Europe,U.K.
2993,TVR Speed 12,1998,TVR,Cerbera Speed 12,Retro Supercars,Factory,Europe,U.K.
2995,VW GTI Mk1 '83,1983,Volkswagen,Golf GTI,Hot Hatch Icons,Factory,Europe,Germany
2996,#13 Ford Mustang,2015,Formula Drift,#13 Ford Mustang,Formula Drift,Race,N. America,U.S.
2997,#530 HSV Maloo,2016,Formula Drift,#530 HSV Maloo Gen-F,Formula Drift,Race,N. America,U.S.
3000,FD #777 240SX,1997,Formula Drift,#777 Nissan 240SX,Formula Drift,Race,N. America,U.S.
3003,#43 Dodge Viper,2006,Formula Drift,#43 Dodge Viper SRT10,Formula Drift,Race,N. America,U.S.
3007,#34 VW Beetle,2017,Volkswagen,#34 Volkswagen Andretti Rallycross Beetle,Rally Monsters,Race,Europe,Germany
3018,Nissan #83 GTP,1985,Nissan,#83 GTP ZX-Turbo,GTP/C,Race,Asia,Japan
3019,Ferrari 166 IS,1948,Ferrari,166 Inter Sport,The Birth of Grand Prix,Race,Europe,Italy
3023,Porsche #11 956,1983,Porsche,#11 John Fitzpatrick Racing 956,GTP/C,Race,Europe,Germany
3024,AM DBS '67,1967,Aston Martin,DBS,Vintage Exotic GT,Factory,Europe,U.K.
3028,Merkur #11 XR4Ti,1986,Merkur,#11 MAC Tools XR4Ti,GTX Sportscars,Race,N. America,U.S.
3035,KTM X-Bow GT4,2018,KTM,X-Bow GT4,Forza GT4,Race,Europe,Austria
